epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1643,1.48674,2.56545,1.56863,0.37376,0.10122,0.14461,0.05257,2.31329,3.53658,2.25059,0.000657895,0.000657895,0.000657895
2,71.377,1.62565,2.16228,1.63667,0.2427,0.18908,0.12144,0.04383,2.4429,3.42407,2.53823,0.00131145,0.00131145,0.00131145
3,106.299,1.64732,1.9264,1.65306,0.17237,0.18908,0.08692,0.03218,2.34705,4.10785,2.4552,0.0019518,0.0019518,0.0019518
4,141.159,1.61845,1.72518,1.6432,0.25565,0.24366,0.18602,0.09246,2.09851,5.37568,2.23873,0.0019406,0.0019406,0.0019406
5,175.96,1.57536,1.60024,1.61648,0.48232,0.30214,0.34779,0.15628,1.97554,2.23399,1.96389,0.0019208,0.0019208,0.0019208
6,210.73,1.56866,1.52503,1.5905,0.37436,0.38841,0.29955,0.10487,2.32984,2.23245,2.17521,0.001901,0.001901,0.001901
7,245.614,1.47858,1.43031,1.50982,0.40649,0.40586,0.37073,0.18204,1.92506,2.17086,1.94527,0.0018812,0.0018812,0.0018812
8,280.559,1.46896,1.3338,1.49182,0.50673,0.49863,0.47211,0.2378,1.8694,1.95192,1.84948,0.0018614,0.0018614,0.0018614
9,315.336,1.48313,1.39456,1.52149,0.63831,0.47758,0.52501,0.24169,1.86981,1.72075,1.8111,0.0018416,0.0018416,0.0018416
10,350.174,1.41231,1.28768,1.466,0.53461,0.53518,0.53342,0.27309,1.78764,1.62635,1.70441,0.0018218,0.0018218,0.0018218
11,384.985,1.41157,1.24045,1.45356,0.49251,0.49375,0.47756,0.23112,1.87144,1.73733,1.78123,0.001802,0.001802,0.001802
12,419.838,1.39608,1.25209,1.45429,0.54838,0.56334,0.55477,0.28481,1.72614,1.59734,1.65919,0.0017822,0.0017822,0.0017822
13,454.873,1.37622,1.18991,1.43143,0.72255,0.4975,0.57913,0.28897,1.75104,1.69497,1.69519,0.0017624,0.0017624,0.0017624
14,489.3,1.33692,1.17646,1.40939,0.5799,0.55556,0.57602,0.27199,1.74244,1.69391,1.63675,0.0017426,0.0017426,0.0017426
15,524.187,1.29923,1.14495,1.36908,0.52504,0.54519,0.52616,0.26209,1.7365,1.65407,1.6515,0.0017228,0.0017228,0.0017228
16,558.975,1.30397,1.12364,1.39496,0.60173,0.54386,0.59915,0.29086,1.76302,1.52515,1.68642,0.001703,0.001703,0.001703
17,593.721,1.31532,1.13225,1.39272,0.65963,0.5614,0.61367,0.31906,1.6673,1.505,1.65855,0.0016832,0.0016832,0.0016832
18,628.458,1.28581,1.13212,1.39298,0.55866,0.55166,0.542,0.28251,1.71851,1.63473,1.63437,0.0016634,0.0016634,0.0016634
19,663.718,1.28287,1.09773,1.3741,0.57538,0.47563,0.52257,0.27193,1.70539,1.61743,1.62449,0.0016436,0.0016436,0.0016436
20,700.131,1.2956,1.11503,1.37223,0.701,0.5804,0.64488,0.35253,1.5955,1.41141,1.56791,0.0016238,0.0016238,0.0016238
21,734.678,1.27814,1.06939,1.35836,0.68254,0.52047,0.61014,0.3152,1.70992,1.46151,1.62923,0.001604,0.001604,0.001604
22,769.602,1.24874,1.09608,1.35321,0.65948,0.52632,0.57456,0.31363,1.69833,1.56895,1.68715,0.0015842,0.0015842,0.0015842
23,804.213,1.24826,1.05822,1.35445,0.6164,0.54971,0.61069,0.30534,1.7064,1.43332,1.63787,0.0015644,0.0015644,0.0015644
